prototype_index,closest_text
86,"""i hear a lot of people saying the same thing about this being sort of like a miracle drug that is what my psychiatrist and dr call to.
 it is quite amazing how you can be going through a full blown panic anxiety attack and just not too long after taking xanax. it's like night and day.
 it's definitely good to have one of these on hand if you suffer from anxiety or panic disorder. sometimes just knowing i have it and helps me. anyway 10 out of 10 very addictive but definitely works. as long as you're not popping them every couple hours i think most people on here will find that it works great.."""
87,"""i began to have heavy periods when i was very young, it was a nightmare to manage at school, because i had to sit through classes for a whole hour and afterwards would have to carefully waddle to the bathroom to change my pad! the first medication the doctors gave was the pill, a year on that and i had gained 1.5 stone and the periods were still too heavy. i came off the pill, lost the weight and began to take tranexamic acid. i think i have been using it for around 4 years now. i take 2 tablets 3 times a day for the first 3/4 days of my period. the change in flow is dramatic and i really couldn't manage without them :)"""
88,"""i switched from microgestin fe 20, which was good, but my body got used to it and i started getting abnormal periods. 
switched to this, did not gain weight, so far it's been a smooth transition. the only thing that i do not like is that i get a lot of nausea while i'm on my period. i hope with time it'll go away. other than that it's a good form of bc."""
89,"""i hear a lot of people saying the same thing about this being sort of like a miracle drug that is what my psychiatrist and dr call to.
 it is quite amazing how you can be going through a full blown panic anxiety attack and just not too long after taking xanax. it's like night and day.
 it's definitely good to have one of these on hand if you suffer from anxiety or panic disorder. sometimes just knowing i have it and helps me. anyway 10 out of 10 very addictive but definitely works. as long as you're not popping them every couple hours i think most people on here will find that it works great.."""
90,""". tried compounded synthethetic t4 and t3.(the synthetic drug minus all additives, dyes etc.-prepared by a compounding pharmacy and  the pure drug is put into a clear capsule)

then tried armour--much better

lastly tried wp thyroid. this is a fantastic thing.."""
91,"""i had to stop taken the medicine due to getting yellowing of the skin, fevers, nightmares, severe headaches, dizziness, hot flashes, restlessness, nausea, etc. the medicine was fine until about 3 days into it then i began to feel worse and it was even hard for me to breathe. i may be one of the select few who reacted this way and i followed everything that i was told to do exactly."""
92,"""pros
-completely clear skin after 4 months 
-during treatment my hair got much less greasy and barely needed washing. however this stopped after i finished my course

cons
-dry skin everywhere, although was manageable with a lot of moisturiser and lip balm
-eczema on arms, back of knees, and hands
-severe back pain lasting the whole duration of the course, couldn't be helped by physiotherapy
-(the worst side effect) irritable bowel syndrome. severe pain while passing stools (to the extent of crying), constipation and blood when i wiped. was severely debilitating and made me afraid of going to the loo for 4 months

summary 
- despite the awful side effects, i do not at all regret taking roaccutane even though i only had mild-moderate acne"""
93,"""i switched from microgestin fe 20, which was good, but my body got used to it and i started getting abnormal periods. 
switched to this, did not gain weight, so far it's been a smooth transition. the only thing that i do not like is that i get a lot of nausea while i'm on my period. i hope with time it'll go away. other than that it's a good form of bc."""
94,"""i switched from yaz to beyaz because yaz got too expensive.  i decided to try it because i could no longer afford yaz and the results were much better than expected. no cramps, nice skin, and my period is always right on time like yaz but with a few added benefits. when i was on yaz, the week before my period i would always get bloated in the stomach area and would be self conscious about it. also about 4 days before my period my appetite increased so much that i couldn't stop eating. on beyaz there is no bloating and it curbs my appetite so much that i've lost some weight on it. i also used to get extremely fatigued around my period on yaz to the point where it was hard to wake up but on beyaz i feel more energetic than ever before."""
95,"""this medication made me feel like my brain was fried it was so hard to think and it made me feel hyper on the inside but made my body feel tired and lazy it was a horrible feeling and it made my schizophrenia worse!!"""
96,"""tried for several months.  wasn't sure if problem had resolved or drug was actually working.  stopped slowly and within weeks noticed return of symptoms - starting back tomorrow - slowly up to full dosage."""
97,"""on my second one! total of 14 years with one. whats not to love? just have it placed and hormone free birth control for 10 years! yes, 10 years without having to even think about pregnancy!"""
98,"""pros
-completely clear skin after 4 months 
-during treatment my hair got much less greasy and barely needed washing. however this stopped after i finished my course

cons
-dry skin everywhere, although was manageable with a lot of moisturiser and lip balm
-eczema on arms, back of knees, and hands
-severe back pain lasting the whole duration of the course, couldn't be helped by physiotherapy
-(the worst side effect) irritable bowel syndrome. severe pain while passing stools (to the extent of crying), constipation and blood when i wiped. was severely debilitating and made me afraid of going to the loo for 4 months

summary 
- despite the awful side effects, i do not at all regret taking roaccutane even though i only had mild-moderate acne"""
99,"""""iffy"" sexual performance for last 6 months.  (53, married 30 years).  tried ""stendra"" with only marginal improvement and was getting a bit panicky! had doubts cialis would be any better. ""10"" is too low of a score.  nice to have the wife complain of some initial discomfort from ""too deep, too soon"", again, and having to back off. it ended well for all concerned (it was a sample from doctor, so not sure on future pricing)."""
100,"""(i wrote this back in june: i've been using orlistat for 3 weeks now and have only lost 1 lb so far. i can honestly say that i have had no side effect. been very careful of what i have eaten. have only been going to the gym once a week but with 3 kids i'm on the go all day). 

i didn't think the drug was working for me so tested it out: i ate as much chocolate and biscuits as i wanted and boy didn't i pay for it the next day. since then i cut out carbs, still have treats maybe still to many of them which i'm trying to cut down again, not suffering the side effects though, very occasionally i'm windy but i've lost 12lbs. i would recommend it to anyone. i'm 1 stone and 3 lbs off my target weight."""
101,"""about 5 years ago my doctor prescribed amerge and i have used it ever since.  i have been a migraine sufferer for the past 15 years and this is the medication that works the best for me.  2 years ago my health insurance decided to no longer cover the medication and i had to try to find another.  it was awful.  i did not realize how much more effective amerge was than the other medicines.  i highly recommend this product."""
102,"""pros
-completely clear skin after 4 months 
-during treatment my hair got much less greasy and barely needed washing. however this stopped after i finished my course

cons
-dry skin everywhere, although was manageable with a lot of moisturiser and lip balm
-eczema on arms, back of knees, and hands
-severe back pain lasting the whole duration of the course, couldn't be helped by physiotherapy
-(the worst side effect) irritable bowel syndrome. severe pain while passing stools (to the extent of crying), constipation and blood when i wiped. was severely debilitating and made me afraid of going to the loo for 4 months

summary 
- despite the awful side effects, i do not at all regret taking roaccutane even though i only had mild-moderate acne"""
103,"""i went to the er for extreme neck and head pain. they said they were going to treat me with a headache cocktail. the nurse shot 3 medicines in me quickly. the first was reglan. immediately after she put this in my iv i felt an intense pressure in my chest and i could barely breathe. i began to feel so restless and jittery. i wanted to jump up and rip the iv out and run. i tried to lay there and calm down but i felt terrible intense anxiety and worried i was going to die. i felt panic like never before. i thought something was wrong with me, i'm so glad i'm not alone. i'll never agree to this medicine again, and my head still hurt when i left!"""
104,"""(preface by saying this is my first and hopefully last stone).

i had sudden and severe lower-abdomen pain on a monday, so i went to the emergency room.  i had a ct scan performed and the hospital discovered a 3.5mm obstruction in my ureter.  i was feeling fine by that evening when i was released.  they gave me a prescription for flomax but i received tamsulosin (the generic equivalent).  my urologist told me to continue with the tamsulosin and to filter all my urine.

i had no further pain until the weekend, saturday into sunday it was pretty bad, but i didn't pass anything.

come wednesday (8 days after starting tamsulosin), i had passed the stone with no pain.  don't listen to all the horror stories.  take the tamsulosin!"""
105,"""got my inserted bout 10 years ago !! worked magic for me! no problems no pain period flow normally . and yes i will leave it there for another 3-4 more years. totalling 13-14 years."""
106,"""i  had   tried   this   product  in   2005.... and   it   was   not   effective.   so  i gave  it   another   chance   to   so   call   redeem  itself.   well,  this   is  definitely   not   for   me,  it   made   me   feel   worst,  i  developed a headache"""
107,"""i hear a lot of people saying the same thing about this being sort of like a miracle drug that is what my psychiatrist and dr call to.
 it is quite amazing how you can be going through a full blown panic anxiety attack and just not too long after taking xanax. it's like night and day.
 it's definitely good to have one of these on hand if you suffer from anxiety or panic disorder. sometimes just knowing i have it and helps me. anyway 10 out of 10 very addictive but definitely works. as long as you're not popping them every couple hours i think most people on here will find that it works great.."""
108,"""prescribed 600mg for bipolar 1, first three weeks nasty but stick with it these side effects disappear. taken alongside lithium and i have never felt so well in over 20 years, awesome."""
109,""""" i am 20 with no kids and have never been pregnant before. i was on birth control pills for 4 years before deciding on trying something stronger plus i couldn't remember to take it daily. i had skyla inserted oct 16 so i am on day 4. i'm not going to lie having it inserted hurt. it was a combination of uncomfortable mixed with pain. day 1 i had horrible cramps all day and some nausea day 2 i felt amazing no cramps so sickness nothing day 3 i found the lovely side effect of extreme emotion. i was a roller coaster of emotion all day with some random cramps throughout the day day 4 i have had some cramps off and on but the emotions are in check today. so far so good, no major complaints except hoping the cramps and spotting subside soon"""
110,"""got my inserted bout 10 years ago !! worked magic for me! no problems no pain period flow normally . and yes i will leave it there for another 3-4 more years. totalling 13-14 years."""
111,"""about 5 years ago my doctor prescribed amerge and i have used it ever since.  i have been a migraine sufferer for the past 15 years and this is the medication that works the best for me.  2 years ago my health insurance decided to no longer cover the medication and i had to try to find another.  it was awful.  i did not realize how much more effective amerge was than the other medicines.  i highly recommend this product."""
112,"""about 5 years ago my doctor prescribed amerge and i have used it ever since.  i have been a migraine sufferer for the past 15 years and this is the medication that works the best for me.  2 years ago my health insurance decided to no longer cover the medication and i had to try to find another.  it was awful.  i did not realize how much more effective amerge was than the other medicines.  i highly recommend this product."""
113,"""sustained second degree burns to entire right hand resulting from spilled frying grease. application of silver sulfadiazine afforded almost immediate cooling relief. necrotic tissue was removed, ss applied for 3 days after which the hand was usable. normalcy resumed after 10 days. an uneventful recovery was attained."""
114,"""i  had   tried   this   product  in   2005.... and   it   was   not   effective.   so  i gave  it   another   chance   to   so   call   redeem  itself.   well,  this   is  definitely   not   for   me,  it   made   me   feel   worst,  i  developed a headache"""
115,"""i am 61 years old, diagnosed high blood pressure when 18 years old.  i was 6'1""  when 18 and weighed 175, 29"" pant size with 44 coat size.  have taken drugs for over 40 years trying to keep blood pressure in the 150 over 100 range. (vasotec, lotril, and others).  started  azor (lowest dose available), 2 years ago and have never had a  reading over 120/80!  no side effects for me and i feel great."""
116,"""i was retaining 30 ounces of urine after going to restroom had cath. for one week put on flomax symptoms gone with in few weeks only had mild side effects get up once a night now"""
117,"""39/ no kids. i have always had issues with taking bc, estrogen makes me a moody, bloated beast. i was diagnosed with endo 5 years ago. got iud w/ hormone, worked for 2 years and i've been bleeding now off and on for months.   

was just in to see my ob last week and he suggested  nora-be.  at first i was hesitant but he explained that the progesterone dosage is the same as iud and a fraction of the hormone compared to the progesterone pills. i've taken it for a week here and there to shrink cysts. so i said ok. 
took my first pill last night. today i was more calm and patient, no appetite at all. will post update in a few days."""
118,"""39/ no kids. i have always had issues with taking bc, estrogen makes me a moody, bloated beast. i was diagnosed with endo 5 years ago. got iud w/ hormone, worked for 2 years and i've been bleeding now off and on for months.   

was just in to see my ob last week and he suggested  nora-be.  at first i was hesitant but he explained that the progesterone dosage is the same as iud and a fraction of the hormone compared to the progesterone pills. i've taken it for a week here and there to shrink cysts. so i said ok. 
took my first pill last night. today i was more calm and patient, no appetite at all. will post update in a few days."""
119,"""i had a choice of going to the er or taking the pill. i took the pill and 30 minutess later the pain was gone. then came the side effects, weak, pressure in the shoulders, speech and memory were difficult and little pressure in the chest. all were gone in less than an hour. i was so happy with the results. living without migraines is priceless to me."""
120,"""(i wrote this back in june: i've been using orlistat for 3 weeks now and have only lost 1 lb so far. i can honestly say that i have had no side effect. been very careful of what i have eaten. have only been going to the gym once a week but with 3 kids i'm on the go all day). 

i didn't think the drug was working for me so tested it out: i ate as much chocolate and biscuits as i wanted and boy didn't i pay for it the next day. since then i cut out carbs, still have treats maybe still to many of them which i'm trying to cut down again, not suffering the side effects though, very occasionally i'm windy but i've lost 12lbs. i would recommend it to anyone. i'm 1 stone and 3 lbs off my target weight."""
121,""". tried compounded synthethetic t4 and t3.(the synthetic drug minus all additives, dyes etc.-prepared by a compounding pharmacy and  the pure drug is put into a clear capsule)

then tried armour--much better

lastly tried wp thyroid. this is a fantastic thing.."""
122,"""took one, waited about 45 minutes, there was some minor cramping right before i had to go, went to the bathroom and was hard pushing it out but it did come and now i feel so relieved and overall would recommend it."""
123,""". i'm currently 15 yrs old and and this is the second add/adhd meds i've been on. in highschool i feel that it's very important to succeed. due to me going untreated for my entire childhood, i dropped out. i'm back in school now and it's been 2 years. if it gets to the point where you want to drop out i suggest add medication. but if you have a 3-10 year old i highly don't suggest it. when my brother was 4-7/8 he was on it. he would always try to kill me and my mother. he would hurt animals and kids at school. he was quiet and had no emotion or expression. tried to kill himself many times. to this day he is now 18 and 5'8 when he is supposed to be over 6ft because our genes. highly do not recommend unless this is the last resort for a child"""
124,"""i have been depressed over 20 years, been hospitalized for a major depressive event and suicidal. i have been on numerous antidepressants over the years. none of which worked, i have been on escitalopram for 6 years (10mg) and i can say that i am normal and happy. it works for me. i tried 20mg for a while, but it made me too sleepy. the 10mg works for me.
my wife of 47 years passed away 2 months ago. i am grieving but not depressed. sounds strange, but i definately know the difference."""
125,"""i  had   tried   this   product  in   2005.... and   it   was   not   effective.   so  i gave  it   another   chance   to   so   call   redeem  itself.   well,  this   is  definitely   not   for   me,  it   made   me   feel   worst,  i  developed a headache"""
126,"""i am 61 years old, diagnosed high blood pressure when 18 years old.  i was 6'1""  when 18 and weighed 175, 29"" pant size with 44 coat size.  have taken drugs for over 40 years trying to keep blood pressure in the 150 over 100 range. (vasotec, lotril, and others).  started  azor (lowest dose available), 2 years ago and have never had a  reading over 120/80!  no side effects for me and i feel great."""
127,"""%u25b66x r-chop 2/2011-6/3011 (the ""o"" is oncovin = vincristine).
%u25b6 { 16x rituxan 12/2011-4/2014}.
%u25b6 {2x bendamustine/ rituxan/rituxan 11/2014-12/2014, myo infarct 12/11/2014}
%u25b6 3x cvp (= cyclophosphamide, vincristine, prednisone 4/2015 -5/2015, 3 more due)
.
%u25b6cvp is my 4th cocktail, since 2-1/2 years of maintenance rituxan still resulted in increased growth in neck/jaw area
%u25b6 day 1- day 2 bendamustine-rituxan/ rituxan resulted in myocardial infarction a week  after the 2nd cycle; stent placed at l. circumflex
%u25b6 3 cycles after cvp (every 3 weeks for 6 cycles/ infusions), most prominent  tumor reduced to  half. low-grade queasiness treated initially w/ ondansetron, changed to lorazepam. no hair loss. powerport"""
128,"""astelin is the only prescription antihistamine nasal spray approved to treat symptoms caused by both seasonal allergens and environmental irritants.


astelin provides relief from bothersome nasal symptoms such as congestion, itchy/runny nose, sneezing and postnasal drip due to seasonal allergens or environmental irritants.

astelin is steroid-free and does not contain pseudoephedrine."""
129,"""i have been on sertraline/zoloft (on different doses at different times for different occasions) for about 6 years now, and it has helped me a tremendous amount. i highly recommend it."""
130,"""i took this pill immediately had trouble breathing nausea diarrhea, followed by a month so far of getting my period twice sore breasts, weight gain weakness, tiredness, heavy cramps lower back pain bone crushing headaches, mood changes, hot flashes and worst of all lethargic out of it brain fog. the worst mistake i made taken this garbage i would have rathered been pregnant. my advice is don't take it its poison."""
131,"""most of my symptoms disappeared! as long as i take as directed, i am pain free!! still have tiredness and occasional low grade fever but no bleeding for three years now."""
132,""" i have ibs with insomnia, 50 mg resolve my sleep problem and that of another other 57 patients , my  ibs-d improved 80% with the same medication. safe and life saving . have taken for 7 years"""
133,"""i am 61 years old, diagnosed high blood pressure when 18 years old.  i was 6'1""  when 18 and weighed 175, 29"" pant size with 44 coat size.  have taken drugs for over 40 years trying to keep blood pressure in the 150 over 100 range. (vasotec, lotril, and others).  started  azor (lowest dose available), 2 years ago and have never had a  reading over 120/80!  no side effects for me and i feel great."""
134,"""pros
-completely clear skin after 4 months 
-during treatment my hair got much less greasy and barely needed washing. however this stopped after i finished my course

cons
-dry skin everywhere, although was manageable with a lot of moisturiser and lip balm
-eczema on arms, back of knees, and hands
-severe back pain lasting the whole duration of the course, couldn't be helped by physiotherapy
-(the worst side effect) irritable bowel syndrome. severe pain while passing stools (to the extent of crying), constipation and blood when i wiped. was severely debilitating and made me afraid of going to the loo for 4 months

summary 
- despite the awful side effects, i do not at all regret taking roaccutane even though i only had mild-moderate acne"""
135,"""pros
-completely clear skin after 4 months 
-during treatment my hair got much less greasy and barely needed washing. however this stopped after i finished my course

cons
-dry skin everywhere, although was manageable with a lot of moisturiser and lip balm
-eczema on arms, back of knees, and hands
-severe back pain lasting the whole duration of the course, couldn't be helped by physiotherapy
-(the worst side effect) irritable bowel syndrome. severe pain while passing stools (to the extent of crying), constipation and blood when i wiped. was severely debilitating and made me afraid of going to the loo for 4 months

summary 
- despite the awful side effects, i do not at all regret taking roaccutane even though i only had mild-moderate acne"""
136,"""(text limit)
36, suffered since childhood. anxiety, depression, and panic attacks. believing i have heart problems, heart pounding that my mind is creating, hatred, anger, anger, anger, and lack of ever really just feeling good. and by good, i don't mean parties and hooking up two people to date. i mean just taking in life and acknowledging nature for those very brief beautiful moments i only have vague memories of doing.

this drug helped me, and i wish i could stay on it, but i can't. it built tolerance, affected my memory, and started degrading my cognitive functions. outside of that, the search was finally over when i got on it, but now it's back to hell because i can't stay. everyone is different, don't increase the dose."""
137,"""""iffy"" sexual performance for last 6 months.  (53, married 30 years).  tried ""stendra"" with only marginal improvement and was getting a bit panicky! had doubts cialis would be any better. ""10"" is too low of a score.  nice to have the wife complain of some initial discomfort from ""too deep, too soon"", again, and having to back off. it ended well for all concerned (it was a sample from doctor, so not sure on future pricing)."""
138,"""was working fine for l5 pain then one night after dinner i had bad pain i took 1in a half pills 10mg an hour later was experiencing terrible upper back pain above shoulders real bad stomach muscle pain and it was painful to swallow. """
139,"""i had a bad reaction to this medicine; trouble breathing, tight throat, cold hands and feet, increased pulse, strong headache, then fatigue. it was very frightening, but did go away after several hours."""
140,"""took one, waited about 45 minutes, there was some minor cramping right before i had to go, went to the bathroom and was hard pushing it out but it did come and now i feel so relieved and overall would recommend it."""
141,"""i hear a lot of people saying the same thing about this being sort of like a miracle drug that is what my psychiatrist and dr call to.
 it is quite amazing how you can be going through a full blown panic anxiety attack and just not too long after taking xanax. it's like night and day.
 it's definitely good to have one of these on hand if you suffer from anxiety or panic disorder. sometimes just knowing i have it and helps me. anyway 10 out of 10 very addictive but definitely works. as long as you're not popping them every couple hours i think most people on here will find that it works great.."""
142,"""just took my first dose 5 mg of brintellix - have been on every possible medication including wellbutrin for 15 years, seroquel for 9 years, lexapro for 2 years, just weaned off lexapro.  i feel quite odd, butterflies in stomach and brain fog - my daughter has been on brintellix for 2 months and is still vomiting - if this continues, another failed med."""
143,"""i  had   tried   this   product  in   2005.... and   it   was   not   effective.   so  i gave  it   another   chance   to   so   call   redeem  itself.   well,  this   is  definitely   not   for   me,  it   made   me   feel   worst,  i  developed a headache"""
144,"""took one, waited about 45 minutes, there was some minor cramping right before i had to go, went to the bathroom and was hard pushing it out but it did come and now i feel so relieved and overall would recommend it."""
145,"""the nexplanon is plain awful i'm on my third year a month from getting it taken out (i've been begging my doc to take it out for a year now and just got ok'ed) the first year of it my period was nuts either no period or month long period slight weight gain but nothing terrible second year mood swings like crazy weight gain and acne. third year has been the worst i have no acne constant mood swing severe depression despite my life going well can't stop gaining weight (130lb before 185lb now) bloating cramps are so bad i've had to miss work i have acne on my back and face and weird hair growth. i'm growing inch long black facial hairs on my chin and i'm a blonde who used to have like no body hair. this birth control has made me suicidal at time."""
146,""""" i am 20 with no kids and have never been pregnant before. i was on birth control pills for 4 years before deciding on trying something stronger plus i couldn't remember to take it daily. i had skyla inserted oct 16 so i am on day 4. i'm not going to lie having it inserted hurt. it was a combination of uncomfortable mixed with pain. day 1 i had horrible cramps all day and some nausea day 2 i felt amazing no cramps so sickness nothing day 3 i found the lovely side effect of extreme emotion. i was a roller coaster of emotion all day with some random cramps throughout the day day 4 i have had some cramps off and on but the emotions are in check today. so far so good, no major complaints except hoping the cramps and spotting subside soon"""
147,"""about 5 years ago my doctor prescribed amerge and i have used it ever since.  i have been a migraine sufferer for the past 15 years and this is the medication that works the best for me.  2 years ago my health insurance decided to no longer cover the medication and i had to try to find another.  it was awful.  i did not realize how much more effective amerge was than the other medicines.  i highly recommend this product."""
148,"""(15 years old, 103 lbs) i took this at 3pm yesterday morning. i was stupid and took three pills. at about 3:30 i was having horrific abdominal pain and cramping and bad nausea. (i never actually threw up but i felt like i was going to several times) at around 2 am i had to go. after that i went back to bed but for the rest of the night had to get up at least every fifteen minutes with explosive diarrhea. i woke up the next morning in extreme pain with worse nausea than the night before. i tried going to school and had to be picked up early because i couldn't even control my bowel movements. its now 10:16 a day after taking this laxative and my stomach is cramping and growling and i still feel nauseous. i do not recommend. if you take it, take only 1!"""
149,"""about 5 years ago my doctor prescribed amerge and i have used it ever since.  i have been a migraine sufferer for the past 15 years and this is the medication that works the best for me.  2 years ago my health insurance decided to no longer cover the medication and i had to try to find another.  it was awful.  i did not realize how much more effective amerge was than the other medicines.  i highly recommend this product."""
150,"""(liletta iud) i have a high pain tolerance (everyone is different). but in this case, that does not matter. during the insertion you will feel a slight pain/cramping but it is bearable! you will tense up a little, but breathing in with your nose and out with your mouth will help! the vaginal clamp did put pressure on me more than the actual cervix opening for the iud. it's a quick process and rating the pain out of 10, it was about a 4-5 (deep breaths help!). i went while i was on my period which is recommended for easy insertion (true!) and my period stopped the same day, but got light the next day (normally heavy flow). you will feel a little light headed & crampy after but no joke, ice cream or a milkshake will help the pain! good luck!"""
151,"""i am 61 years old, diagnosed high blood pressure when 18 years old.  i was 6'1""  when 18 and weighed 175, 29"" pant size with 44 coat size.  have taken drugs for over 40 years trying to keep blood pressure in the 150 over 100 range. (vasotec, lotril, and others).  started  azor (lowest dose available), 2 years ago and have never had a  reading over 120/80!  no side effects for me and i feel great."""
152,"""i was retaining 30 ounces of urine after going to restroom had cath. for one week put on flomax symptoms gone with in few weeks only had mild side effects get up once a night now"""
153,"""i've been using brintellix for 3 months now - 20mg
- depression is almost completely over & back to work
- side effects still ongoing - dry mouth - weight gain - stomach bloating - abdominal pain ( less frequent now) - dizziness

looking forward to reduce dosage & slowly getting off it."""
154,"""i suffer from a very severe presentation anxiety, but after trying this drug i am able to present without any problems! it is truly amazing. thank you to whoever made this drug!"""
155,"""i had a horrible experience on this pill, within 30is minutes of taking in i started laughing for no apparent reason, then i started getting really angry and yelled at my mom then started crying.
that kept going back and forth for 3 hours till my head started hurting and i felt really sick which is when the suicidal thoughts kicked in. (i have no mental illness- i've been tested but i have issues with estrogen)
i got my first migraine in years on this pill and didn't take another dose. the mental stuff all went down but the headache lasted a week and i couldn't stop sleeping. 
i was told to wait a month by my gyn but the symptoms were too severe with the first dose so i didn't take anymore."""
156,"""please dont get this implant!!! i got it because i’m a very forgetful person and i figured it’d be much easier and less maintenance than the pill. boy was i wrong. although i didn’t gain weight or break out, i was constantly cramping and pmsing. i had my period for 9 months. i would have a period that would last anywhere from a month to a month and a half and then about 3 days of no bleeding but a yeast infection. those 9 months were hell and they took a serious toll on my long term relationship. i was bleeding heavily to the point where i was clotting and i couldn’t tell if i was spotting or if it was my period. i’m now on junel but still have the implant in my arm. please don’t make my mistake. don’t get this implant."""
157,"""i am 61 years old, diagnosed high blood pressure when 18 years old.  i was 6'1""  when 18 and weighed 175, 29"" pant size with 44 coat size.  have taken drugs for over 40 years trying to keep blood pressure in the 150 over 100 range. (vasotec, lotril, and others).  started  azor (lowest dose available), 2 years ago and have never had a  reading over 120/80!  no side effects for me and i feel great."""
158,"""""accident happened with me on sep 19. 3days after i finished my period.  i freaked out and took a pill within 10-12 hours ( first time in my life). i was fine. no side effects besides 5days later i started spotting. it's been already 11days of spotting. i went to the doctor to checked out and she told me everything fine. 
im so nervous why i still spotting. does anyone had same experience as i? 
11days?? stressed out. 
if anyone had please reply me.
many many thanks"""
159,"""i have lost 18lb but the side effects r:  severe groin pain - severe leg cramps- muscle spasms - blurred vision- chest pains- unable to sleep good- cannot walk right- shoulder bone aches - i thought it was due to age- but its not!  even though i have lost weight its not worth feeling the way i feel!  i'm not going to take this med any longer!  i have taken 2 other weight loss meds that did not work - this med worked but the side effects r horrible!  i would not recommend to anyone!"""
160,""". tried compounded synthethetic t4 and t3.(the synthetic drug minus all additives, dyes etc.-prepared by a compounding pharmacy and  the pure drug is put into a clear capsule)

then tried armour--much better

lastly tried wp thyroid. this is a fantastic thing.."""
161,"""-the mirena iud insertion was about an 8/10 on pain scale. after i left the procedure, i had zero pain that night and wasn't limited in any way. in the weeks following i had minor cramping. i had my period for about two straight months following insertion. 
-i had my mirena inserted in march, and it is now mid-july. i get my period at least once month, sometimes with heavy cramping on day 1.  
-my biggest word of caution is regarding weight gain. post insertion i've had a lot of issues maintaining my weight and i am truly consistent with what i eat. i've gained 10 pounds w/o changing my diet. it is very hard to the lose weight. i'm now 3 mo.  post insertion and my weight has suddenly levelled back out, with no changes to my diet. super weird."""
162,"""i began to have heavy periods when i was very young, it was a nightmare to manage at school, because i had to sit through classes for a whole hour and afterwards would have to carefully waddle to the bathroom to change my pad! the first medication the doctors gave was the pill, a year on that and i had gained 1.5 stone and the periods were still too heavy. i came off the pill, lost the weight and began to take tranexamic acid. i think i have been using it for around 4 years now. i take 2 tablets 3 times a day for the first 3/4 days of my period. the change in flow is dramatic and i really couldn't manage without them :)"""
163,"""i began to have heavy periods when i was very young, it was a nightmare to manage at school, because i had to sit through classes for a whole hour and afterwards would have to carefully waddle to the bathroom to change my pad! the first medication the doctors gave was the pill, a year on that and i had gained 1.5 stone and the periods were still too heavy. i came off the pill, lost the weight and began to take tranexamic acid. i think i have been using it for around 4 years now. i take 2 tablets 3 times a day for the first 3/4 days of my period. the change in flow is dramatic and i really couldn't manage without them :)"""
164,"""(preface by saying this is my first and hopefully last stone).

i had sudden and severe lower-abdomen pain on a monday, so i went to the emergency room.  i had a ct scan performed and the hospital discovered a 3.5mm obstruction in my ureter.  i was feeling fine by that evening when i was released.  they gave me a prescription for flomax but i received tamsulosin (the generic equivalent).  my urologist told me to continue with the tamsulosin and to filter all my urine.

i had no further pain until the weekend, saturday into sunday it was pretty bad, but i didn't pass anything.

come wednesday (8 days after starting tamsulosin), i had passed the stone with no pain.  don't listen to all the horror stories.  take the tamsulosin!"""
165,"""the good:

- improved motivation
- more stable moods, fewer deep lows
- improved self-confidence 
- decreased anxiety

the bad:

- (during the first few weeks) insomnia
- (during the first few weeks) drowsiness
- (transient) vivid bad dreams
- difficulty reaching orgasm
- forgetfulness
- emotional blunting"""
166,"""i  had   tried   this   product  in   2005.... and   it   was   not   effective.   so  i gave  it   another   chance   to   so   call   redeem  itself.   well,  this   is  definitely   not   for   me,  it   made   me   feel   worst,  i  developed a headache"""
167,"""i switched from microgestin fe 20, which was good, but my body got used to it and i started getting abnormal periods. 
switched to this, did not gain weight, so far it's been a smooth transition. the only thing that i do not like is that i get a lot of nausea while i'm on my period. i hope with time it'll go away. other than that it's a good form of bc."""
168,"""i began to have heavy periods when i was very young, it was a nightmare to manage at school, because i had to sit through classes for a whole hour and afterwards would have to carefully waddle to the bathroom to change my pad! the first medication the doctors gave was the pill, a year on that and i had gained 1.5 stone and the periods were still too heavy. i came off the pill, lost the weight and began to take tranexamic acid. i think i have been using it for around 4 years now. i take 2 tablets 3 times a day for the first 3/4 days of my period. the change in flow is dramatic and i really couldn't manage without them :)"""
169,"""i suffered severe side effects & seemingly withdrawal symptoms after only 9 days of use for pneumonia. 
main symptoms experienced:
hypertension 
headache 
nausea
abdominal discomfort 
rapid pounding heartbeat/pulse 
lethargy
mental confusion - trouble thinking, foggy brain 
bad taste in mouth 
general feeling of unwell - felt like i was being poisoned. 
day 1: 2x 25mg 
day 2-5: 1x25mg
day 6-9: 1/2 25mg"""
170,"""(15 years old, 103 lbs) i took this at 3pm yesterday morning. i was stupid and took three pills. at about 3:30 i was having horrific abdominal pain and cramping and bad nausea. (i never actually threw up but i felt like i was going to several times) at around 2 am i had to go. after that i went back to bed but for the rest of the night had to get up at least every fifteen minutes with explosive diarrhea. i woke up the next morning in extreme pain with worse nausea than the night before. i tried going to school and had to be picked up early because i couldn't even control my bowel movements. its now 10:16 a day after taking this laxative and my stomach is cramping and growling and i still feel nauseous. i do not recommend. if you take it, take only 1!"""
